Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf,station_id
1980/01/01,00:00,2.484,1.857,1.394,0.827,0.799,0.203,-0.052,-0.597,0,1611400
1980/02/01,00:00,2.782,1.926,1.539,0.942,0.925,0.312,0.108,-0.118,0,1611400
1980/03/01,00:00,2.103,1.686,1.434,0.889,0.879,0.325,0.213,-0.075,0,1611400
1980/04/01,00:00,2.142,1.811,1.486,0.928,0.907,0.328,0.184,-0.187,0,1611400
1980/05/01,00:00,2.172,1.673,1.214,0.682,0.653,0.082,-0.138,-0.518,0,1611400
1980/06/01,00:00,2.263,1.783,1.273,0.683,0.663,0.053,-0.217,-0.517,0,1611400
1980/07/01,00:00,2.543,2.064,1.614,0.994,0.974,0.344,0.102,-0.148,0,1611400
1980/08/01,00:00,2.493,2.064,1.713,1.093,1.083,0.453,0.223,0.033,0,1611400
1980/09/01,00:00,2.333,1.969,1.644,1.027,1.006,0.367,0.217,0.013,0,1611400
1980/10/01,00:00,2.283,1.844,1.473,0.873,0.863,0.253,0.144,-0.295,0,1611400
1980/11/01,00:00,2.474,1.854,1.43,0.873,0.848,0.266,0.056,-0.276,0,1611400
1980/12/01,00:00,2.802,2.103,1.654,1.102,1.073,0.492,0.243,-0.075,0,1611400
1981/01/01,00:00,2.792,2.142,1.654,1.063,1.033,0.423,0.135,-0.197,0,1611400
1981/02/01,00:00,2.602,2.149,1.742,1.129,1.111,0.479,0.285,-0.016,0,1611400
1981/03/01,00:00,2.474,1.985,1.673,1.07,1.058,0.443,0.305,0.062,0,1611400
1981/04/01,00:00,2.133,1.793,1.443,0.873,0.853,0.263,0.113,-0.197,0,1611400
1981/05/01,00:00,2.523,2.024,1.585,0.922,0.912,0.243,0.033,-0.348,0,1611400
1981/06/01,00:00,2.454,1.893,1.365,0.784,0.755,0.144,-0.138,-0.466,0,1611400
1981/07/01,00:00,2.523,1.913,1.385,0.784,0.755,0.125,-0.138,-0.518,0,1611400
1981/08/01,00:00,2.503,2.034,1.604,1.014,1.004,0.394,0.194,-0.075,0,1611400
1981/09/01,00:00,3.043,2.313,2.041,1.414,1.417,0.794,0.653,0.443,0,1611400
1981/10/01,00:00,2.615,2.283,1.919,1.302,1.283,0.646,0.522,0.194,0,1611400
1981/11/01,00:00,2.572,2.034,1.552,0.984,0.945,0.335,0.135,-0.358,0,1611400
1981/12/01,00:00,2.635,1.942,1.414,0.853,0.823,0.233,-0.046,-0.646,0,1611400
1982/01/01,00:00,2.694,1.962,1.493,0.892,0.873,0.253,-0.026,-0.538,0,1611400
1982/02/01,00:00,2.592,1.729,1.309,0.741,0.725,0.141,-0.056,-0.285,0,1611400
1982/03/01,00:00,1.703,1.467,1.115,0.548,0.536,-0.043,-0.164,-0.617,0,1611400
1982/04/01,00:00,1.762,1.493,1.063,0.482,0.453,-0.157,-0.285,-0.768,0,1611400
1982/05/01,00:00,2.014,1.444,1.024,0.443,0.413,-0.197,-0.407,-0.797,0,1611400
1982/06/01,00:00,2.205,1.654,1.155,0.594,0.564,-0.026,-0.305,-0.827,0,1611400
1982/07/01,00:00,2.474,1.785,1.332,0.722,0.722,0.115,-0.118,-0.466,0,1611400
1982/08/01,00:00,2.362,1.795,1.375,0.784,0.774,0.174,-0.066,-0.446,0,1611400
1982/09/01,00:00,2.113,1.677,1.345,0.784,0.769,0.194,0.062,-0.095,0,1611400
1982/10/01,00:00,2.073,1.585,1.289,0.702,0.689,0.089,-0.049,-0.305,0,1611400
1982/11/01,00:00,2.333,1.942,1.473,0.863,0.833,0.203,-0.046,-0.597,0,1611400
1982/12/01,00:00,2.562,1.804,1.234,0.663,0.623,0.013,-0.246,-0.568,0,1611400
1983/01/01,00:00,2.434,1.775,1.25,0.699,0.653,0.056,-0.18,-0.597,0,1611400
1983/02/01,00:00,2.782,2.001,1.581,0.981,0.976,0.371,0.19,-0.276,0,1611400
1983/03/01,00:00,2.464,2.162,1.837,1.204,1.188,0.538,0.413,0.102,0,1611400
1983/04/01,00:00,2.172,1.864,1.483,0.902,0.883,0.292,0.164,-0.387,0,1611400
1983/05/01,00:00,2.244,1.732,1.312,0.682,0.692,0.062,-0.157,-0.417,0,1611400
1983/06/01,00:00,2.133,1.693,1.155,0.594,0.564,-0.026,-0.276,-0.705,0,1611400
1983/07/01,00:00,2.425,1.873,1.375,0.814,0.794,0.223,-0.056,-0.538,0,1611400
1983/08/01,00:00,2.644,2.024,1.634,1.024,1.014,0.394,0.154,-0.348,0,1611400
1983/09/01,00:00,2.635,2.047,1.696,1.066,1.065,0.433,0.315,-0.056,0,1611400
1983/10/01,00:00,2.415,1.893,1.539,0.915,0.907,0.276,0.151,-0.187,0,1611400
1983/11/01,00:00,2.513,1.932,1.493,0.902,0.883,0.282,0.052,-0.207,0,1611400
1983/12/01,00:00,2.523,1.896,1.355,0.761,0.73,0.105,-0.171,-0.568,0,1611400
1984/01/01,00:00,2.343,1.634,1.24,0.535,0.546,-0.148,-0.371,-0.705,0,1611400
1984/02/01,00:00,2.283,1.726,1.266,0.656,0.641,0.016,-0.177,-0.568,0,1611400
1984/03/01,00:00,2.244,1.742,1.407,0.771,0.766,0.125,0.003,-0.226,0,1611400
1984/04/01,00:00,1.795,1.506,1.22,0.568,0.568,-0.085,-0.207,-0.528,0,1611400
1984/05/01,00:00,2.224,1.729,1.273,0.666,0.656,0.039,-0.184,-0.476,0,1611400
1984/06/01,00:00,2.513,2.011,1.444,0.879,0.846,0.249,-0.046,-0.358,0,1611400
1984/07/01,00:00,2.723,2.208,1.673,1.063,1.024,0.374,0.144,-0.157,0,1611400
1984/08/01,00:00,2.835,2.323,1.949,1.293,1.291,0.633,0.44,0.174,0,1611400
1984/09/01,00:00,2.415,2.116,1.752,1.135,1.125,0.499,0.374,0.115,0,1611400
