"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1955/10/01","00:00","2.113","1.575","1.175","0.643","0.614","0.062","-0.128","-0.486","0"
"1955/11/01","00:00","2.513","1.824","1.302","0.794","0.755","0.213","-0.075","-0.587","0"
"1955/12/01","00:00","2.415","1.713","1.155","0.623","0.584","0.013","-0.285","-0.787","0"
"1956/01/01","00:00","2.113","1.453","0.965","0.394","0.374","-0.207","-0.486","-0.886","0"
"1956/02/01","00:00","1.713","1.224","0.863","0.292","0.292","-0.285","-0.486","-0.787","0"
"1956/03/01","00:00","1.312","1.093","0.732","0.203","0.174","-0.387","-0.577","-0.886","0"
"1956/04/01","00:00","1.713","1.375","0.955","0.433","0.394","-0.157","-0.328","-0.787","0"
"1956/05/01","00:00","2.113","1.512","1.043","0.535","0.512","-0.026","-0.236","-0.587","0"
"1956/06/01","00:00","2.014","1.493","1.014","0.453","0.443","-0.128","-0.377","-0.787","0"
"1956/07/01","00:00","2.215","1.604","1.155","0.564","0.554","-0.036","-0.318","-0.787","0"
"1956/08/01","00:00","2.313","1.722","1.322","0.764","0.755","0.174","-0.007","-0.387","0"
"1956/09/01","00:00","2.014","1.752","1.414","0.863","0.833","0.262","0.125","-0.085","0"
"1956/10/01","00:00","2.215","1.824","1.463","0.892","0.873","0.292","0.115","-0.187","0"
"1956/11/01","00:00","2.513","1.883","1.414","0.873","0.843","0.272","0.013","-0.387","0"
"1956/12/01","00:00","2.615","1.854","1.283","0.764","0.722","0.164","-0.075","-0.387","0"
"1957/01/01","00:00","2.313","1.663","1.155","0.653","0.614","0.082","-0.148","-0.387","0"
"1957/02/01","00:00","2.113","1.585","1.224","0.673","0.673","0.125","-0.095","-0.486","0"
"1957/03/01","00:00","2.014","1.604","1.312","0.755","0.745","0.174","0.023","-0.387","0"
"1957/04/01","00:00","1.814","1.404","1.053","0.512","0.512","-0.026","-0.236","-0.486","0"
"1957/05/01","00:00","2.014","1.503","1.014","0.512","0.472","-0.056","-0.285","-0.587","0"
"1957/06/01","00:00","NaN","1.532","1.033","0.535","0.512","-0.007","-0.246","NaN","0"
"1957/07/01","00:00","2.014","1.503","1.093","0.584","0.564","0.033","-0.217","-0.587","0"
"1957/08/01","00:00","2.215","1.722","1.375","0.843","0.833","0.292","0.052","-0.085","0"
"1957/09/01","00:00","2.215","1.785","1.444","0.945","0.912","0.374","0.233","-0.085","0"
"1957/10/01","00:00","2.014","1.634","1.263","0.722","0.702","0.144","-0.016","-0.486","0"
"1957/11/01","00:00","2.313","1.762","1.332","0.784","0.755","0.164","-0.095","-0.486","0"
"1957/12/01","00:00","2.113","1.624","1.155","0.584","0.574","-0.016","-0.338","-0.686","0"
"1958/01/01","00:00","1.814","1.385","0.932","0.364","0.344","-0.246","-0.558","-0.886","0"
"1958/02/01","00:00","NaN","1.434","1.033","0.472","0.453","-0.128","-0.358","NaN","0"
"1958/03/01","00:00","1.814","1.385","1.063","0.492","0.463","-0.138","-0.285","-0.387","0"
"1958/04/01","00:00","1.814","1.473","1.132","0.554","0.535","-0.075","-0.226","-0.486","0"
"1958/05/01","00:00","2.113","1.644","1.214","0.614","0.594","-0.036","-0.266","-0.787","0"
"1958/06/01","00:00","2.113","1.493","1.004","0.443","0.413","-0.167","-0.436","-0.787","0"
"1958/07/01","00:00","2.215","1.824","1.375","0.774","0.764","0.154","-0.095","-0.387","0"
"1958/08/01","00:00","2.113","1.722","1.394","0.833","0.814","0.233","0.062","-0.187","0"
"1958/09/01","00:00","2.113","1.795","1.532","0.945","0.945","0.354","0.213","-0.085","0"
"1958/10/01","00:00","2.415","1.952","1.614","1.043","1.033","0.443","0.282","-0.085","0"
"1958/11/01","00:00","2.713","2.123","1.683","1.073","1.053","0.433","0.213","-0.187","0"
"1958/12/01","00:00","2.513","1.942","1.483","0.873","0.853","0.233","-0.056","-0.486","0"
"1959/01/01","00:00","2.713","2.014","1.542","0.932","0.912","0.282","0.033","-0.486","0"
"1959/02/01","00:00","2.113","1.503","1.122","0.584","0.554","-0.007","-0.226","-0.587","0"
"1959/03/01","00:00","1.713","1.434","1.112","0.545","0.535","-0.036","-0.177","-0.387","0"
"1959/04/01","00:00","2.113","1.713","1.352","0.745","0.732","0.102","-0.016","-0.387","0"
"1959/05/01","00:00","2.313","1.713","1.312","0.755","0.732","0.144","-0.066","-0.387","0"
"1959/06/01","00:00","2.415","1.683","1.263","0.702","0.692","0.135","-0.128","-0.387","0"
